"","X.1","X","respondent_id","gender","age","height","children_under_18","household_income","education","location","frequency","recline_frequency","recline_obligation","recline_rude","recline_eliminate","switch_seats_friends","switch_seats_family","wake_up_bathroom","wake_up_walk","baby","unruly_child","two_arm_rests","middle_arm_rest","shade","unsold_seat","talk_stranger","get_up","electronics","smoked","NAcount","nrecline_rude","nage","agen","ngender","nrecline_frequency","frequentfliers"
"905",905,905,3431897367,"Male","> 60","5'8""",FALSE,"$50,000 - $99,999","Graduate degree","Middle Atlantic","Once a year or less","Once in a while",FALSE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,4,1,1,0
"906",906,906,3431896498,"Female","18-29","5'5""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Pacific","Once a year or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Very","Very","Very","Other (please specify)","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,2,NA,1,0,1,0
"907",907,907,3431895941,"Male","45-60","5'9""",TRUE,"$25,000 - $49,999","Some college or Associate degree","Pacific","Once a year or less","Always",FALSE,"No",TRUE,"No","No","No","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","It is not okay to get up during flight",FALSE,FALSE,0,1,NA,3,1,4,0
"908",908,908,3431894372,"Male","18-29","5'8""",TRUE,NA,"Bachelor degree","Middle Atlantic","A few times per month","Once in a while",TRUE,"Somewhat",FALSE,"No","No","Somewhat","Very","Very","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","Somewhat","Somewhat","It is not okay to get up during flight",FALSE,FALSE,1,2,NA,1,1,1,1
"909",909,909,3431893642,"Male","30-44","5'8""",TRUE,NA,"Some college or Associate degree","Pacific","Once a month or less","Always",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,2,1,4,0
"910",910,910,3431888945,"Female","18-29","5'9""",FALSE,"$0 - $24,999","Bachelor degree","Mountain","Once a year or less","Never",TRUE,"Very",TRUE,"Very","Very","Somewhat","Very","Very","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,3,NA,1,0,0,0
"911",911,911,3431888682,"Female","30-44",NA,NA,"$25,000 - $49,999","High school degree","West South Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"912",912,912,3431885678,"Female","18-29","5'6""",FALSE,"$0 - $24,999","Bachelor degree","East North Central","Once a year or less","Never",TRUE,"Somewhat",TRUE,"No","No","No","Somewhat","No","Very","Other (please specify)","Other (please specify)","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,2,NA,1,0,0,0
"913",913,913,3431885172,"Female","45-60",NA,NA,"$0 - $24,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,0,NA,0
"914",914,914,3431885098,"Male","18-29","6'1""",FALSE,NA,"Graduate degree","Pacific","Once a month or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","Very","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,1,NA,1,1,3,0
"915",915,915,3431883250,"Female","45-60","5'5""",TRUE,"$100,000 - $149,999","Graduate degree","Middle Atlantic","Once a year or less","Always",FALSE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,3,0,4,0
"916",916,916,3431882220,"Female","18-29","5'9""",FALSE,"$0 - $24,999","Some college or Associate degree","Pacific","Once a year or less","Never",TRUE,"Very",TRUE,"Somewhat","Somewhat","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Twice",FALSE,FALSE,0,3,NA,1,0,0,0
"917",917,917,3431878240,"Female","> 60","5'6""",FALSE,"$50,000 - $99,999","Bachelor degree","New England","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Very","Twice",FALSE,FALSE,0,1,NA,4,0,2,0
"918",918,918,3431875832,NA,NA,"6'0""",FALSE,NA,NA,NA,"Once a month or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,5,1,NA,NA,NA,4,0
"919",919,919,3431874935,"Female","18-29",NA,NA,NA,"High school degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,NA,1,0,NA,0
"920",920,920,3431873790,"Female","18-29","6'0""",FALSE,"$25,000 - $49,999","High school degree","Pacific","Once a year or less","Always",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,1,0,4,0
"921",921,921,3431873661,NA,NA,NA,NA,NA,NA,NA,"Once a month or less",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,0
"922",922,922,3431871050,"Female","18-29","5'1""",FALSE,NA,"High school degree","South Atlantic","Once a month or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Somewhat","No","Somewhat","The people in the aisle and window seats get both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,1,2,NA,1,0,1,0
"923",923,923,3431865276,"Female","45-60","5'7""",FALSE,NA,"Graduate degree","East North Central","Once a month or less","Once in a while",FALSE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","No","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Once",FALSE,FALSE,1,1,NA,3,0,1,0
"924",924,924,3431864594,"Female","45-60","5'2""",FALSE,"$50,000 - $99,999","Some college or Associate degree","Pacific","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Four times",FALSE,FALSE,0,2,NA,3,0,1,0
"925",925,925,3431864204,"Female","45-60","5'3""",FALSE,"$25,000 - $49,999","Some college or Associate degree","Pacific","Once a year or less","About half the time",TRUE,"Somewhat",FALSE,"No","No","No","Somewhat","No","Somewhat","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","Very","Very","Three times",FALSE,FALSE,0,2,NA,3,0,2,0
"926",926,926,3431862283,"Female","> 60","5'9""",FALSE,NA,"Graduate degree","East North Central","Once a month or less","Once in a while",TRUE,"No",FALSE,"No","No","No","No","No","Very","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,1,NA,4,0,1,0
"927",927,927,3431859028,"Male","30-44","6'3""",TRUE,NA,"Bachelor degree","Pacific","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",TRUE,FALSE,1,1,NA,2,1,3,0
"928",928,928,3431857651,"Female","30-44","5'7""",TRUE,NA,"Some college or Associate degree","Mountain","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,1,1,NA,2,0,1,0
"929",929,929,3431856354,"Male","45-60","5'11""",FALSE,"$50,000 - $99,999","Bachelor degree","New England","Once a year or less","About half the time",TRUE,"No",FALSE,"No","No","Somewhat","Somewhat","Somewhat","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,3,1,2,0
"930",930,930,3431853237,"Female","18-29","5'2""",FALSE,NA,"Some college or Associate degree","Pacific","Once a year or less","Never",TRUE,"Somewhat",TRUE,"Somewhat","No","Somewhat","Very","Somewhat","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,1,2,NA,1,0,0,0
"931",931,931,3431851037,"Male","45-60",NA,NA,"$100,000 - $149,999","Some college or Associate degree","Pacific","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,3,1,NA,0
"932",932,932,3431848412,"Female","45-60","5'7""",FALSE,"$100,000 - $149,999","Some college or Associate degree","Pacific","Once a year or less","Usually",TRUE,"Somewhat",FALSE,"No","No","No","No","No","Somewhat","The person in the middle seat gets both arm rests","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,0,2,NA,3,0,3,0
"933",933,933,3431846827,"Female","18-29","5'1""",FALSE,NA,"Bachelor degree","Pacific","Once a year or less","Always",TRUE,"No",FALSE,"Somewhat","Somewhat","Somewhat","Somewhat","No","Somewhat","Other (please specify)","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Four times",FALSE,FALSE,1,1,NA,1,0,4,0
"934",934,934,3431845651,"Female","> 60","5'6""",FALSE,"$100,000 - $149,999","Graduate degree","Pacific","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,0,3,0
"935",935,935,3431844950,"Male","18-29","5'10""",FALSE,"$50,000 - $99,999","Bachelor degree","Pacific","Once a month or less","About half the time",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The person in the middle seat gets both arm rests","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","No","Three times",TRUE,FALSE,0,1,NA,1,1,2,0
"936",936,936,3431844008,"Male","45-60","5'9""",FALSE,NA,"Graduate degree","Pacific","A few times per month","Once in a while",TRUE,"Very",FALSE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","Very","No","More than five times times",FALSE,FALSE,1,3,NA,3,1,1,1
"937",937,937,3431840082,"Male","45-60","5'8""",TRUE,"$50,000 - $99,999","Some college or Associate degree","Middle Atlantic","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","Somewhat","Three times",FALSE,FALSE,0,1,NA,3,1,3,0
"938",938,938,3431838216,"Female","18-29","5'6""",TRUE,"$0 - $24,999","Some college or Associate degree","East North Central","Once a year or less","Once in a while",FALSE,"No",FALSE,"No","No","No","Somewhat","No","No","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","No","No","Twice",FALSE,FALSE,0,1,NA,1,0,1,0
"939",939,939,3431837847,"Male","> 60","5'9""",FALSE,"$100,000 - $149,999","Graduate degree","West South Central","Once a year or less","Once in a while",TRUE,"Somewhat",TRUE,"No","No","Somewhat","Very","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Once",FALSE,FALSE,0,2,NA,4,1,1,0
"940",940,940,3431837048,"Male","18-29","5'10""",FALSE,"$0 - $24,999","Some college or Associate degree","West North Central","Once a year or less","Usually",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Very","The arm rests should be shared","The arm rests should be shared","The person in the window seat should have exclusive control","Somewhat","No","Three times",TRUE,FALSE,0,1,NA,1,1,3,0
"941",941,941,3431832795,"Female","> 60","5'4""",FALSE,NA,"Graduate degree","West South Central","Once a month or less","Once in a while",TRUE,"Somewhat",FALSE,"No","No","No","No","No","Very","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Four times",FALSE,FALSE,1,2,NA,4,0,1,0
"942",942,942,3431828635,"Male","18-29","5'7""",FALSE,"$0 - $24,999","Some college or Associate degree","West South Central","Once a year or less","Once in a while",TRUE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","Somewhat","Once",FALSE,FALSE,0,1,NA,1,1,1,0
"943",943,943,3431827807,"Female","45-60","5'9""",FALSE,NA,"Graduate degree","Middle Atlantic","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","No","Somewhat","Very","The arm rests should be shared","Whoever puts their arm on the arm rest first","The person in the window seat should have exclusive control","No","Somewhat","Four times",TRUE,FALSE,1,1,NA,3,0,3,0
"944",944,944,3431822775,"Female","> 60","5'5""",FALSE,NA,"Graduate degree","East North Central","Once a year or less","Never",TRUE,"Somewhat",FALSE,"Somewhat","Somewhat","Very","Very","Somewhat","Very","The person in the middle seat gets both arm rests","The person by the window","Everyone in the row should have some say","Somewhat","No","Four times",FALSE,FALSE,1,2,NA,4,0,0,0
"945",945,945,3431822505,"Female","30-44",NA,NA,"$25,000 - $49,999","Bachelor degree","West North Central","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,2,0,NA,0
"946",946,946,3431821681,"Male","30-44","6'1""",FALSE,"$100,000 - $149,999","Bachelor degree","Pacific","Once a year or less","Once in a while",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Somewhat","The arm rests should be shared","The arm rests should be shared","Everyone in the row should have some say","No","No","Twice",FALSE,FALSE,0,1,NA,2,1,1,0
"947",947,947,3431821208,"Male","> 60","5'6""",FALSE,"$50,000 - $99,999","Graduate degree","Pacific","Once a year or less","Usually",FALSE,"No",FALSE,"No","No","No","Somewhat","No","Very","Whoever puts their arm on the arm rest first","Whoever puts their arm on the arm rest first","Everyone in the row should have some say","No","No","Three times",FALSE,FALSE,0,1,NA,4,1,3,0
"948",948,948,3431820584,NA,NA,"5'4""",FALSE,NA,NA,NA,"Once a year or less","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,"The people in the aisle and window seats get both arm rests","The arm rests should be shared","Everyone in the row should have some say","Somewhat","No","Once",NA,NA,16,NA,NA,NA,NA,0,0
